,title,date,place,price,start_date,end_date,url,description
1,ロシア･バレエ･ガラ2021（神奈川県民ホール）,2021年8月30日(月),神奈川県民ホール　大ホール,"有料。7,500円（全席指定）",2021-08-30,2021-08-30,https://www.koransha.com/ballet/rossiangala/,バレエの名場面ばかりをハイライトで上演する人気公演！ バレエ大国ロシアを代表する5つのバレエ劇場、マリインスキー、ボリショイ、ミハイロフスキー、モスクワ音楽劇場、ペルミ・バレエより実力派ソリストが集結。ロシア・バレエの伝統美をカンパニーの枠を越えた競演で贈る贅沢な公演。4才以上入場可能なので、小さな子どもも一緒に、美しいバレエの世界を楽しむことができる。　※3歳以下入場不可
2,ミュージカル「眠れる森の美女」,2021年8月22日(日),川越市やまぶき会館,"有料。2,800円（全席指定）※大人・子ども同一料金、3歳以上有料、2歳以下ひざ上観覧は無料",2021-08-22,2021-08-22,https://www.kfp.or.jp/,同じ日に生まれた王女様と、料理番の娘。王女様は何不自由なく過保護に育ち、わがままな娘となり、貧しい料理番の娘は心の美しい娘に。黒の妖精に死の呪いをかけられた王女様は、白の妖精の贈り物により100年の眠りにつき、素晴らしい夢を見て美しい心に目覚める物語。思いやりの心、優しい心の大切さを伝えるという、オリジナル創作ストーリー。
3,BalletMuses－バレエの美神2021－（東京国際フォーラムホールC）,2021年10月9日(土)・10日(日),東京国際フォーラム　ホールC,"有料。S席17,000円　A席14,000円　B席10,000円　C席7,000円",2021-10-09,2021-10-10,https://www.koransha.com/ballet/muses/,1999年から開催した「バレエの美神（ミューズ）」は、プリセツカヤ、P・デュポン、ルジマトフ、ラトマンスキー、イレール、ゲラン、ピエトラガラ、ファジェーエフ、ヴィシニョーワ、ザハーロワほか、時代を象徴する錚々たるダンサーが出演して話題を博した｡その伝説の舞台が、15年ぶりに復活！ 世界各国のバレエ団から、“今”観ておきたい旬のダンサーや飛躍を続ける若手ダンサーたちが出演する｡　※未就学児入場不可
4,ククノチテクテクマナツノボウケン,2021年7月12日(月)～19日(月),KAAT神奈川芸術劇場　大スタジオ,"有料。おとな3,500円／こども（4歳～高校生）1,000円",2021-07-12,2021-07-19,https://www.kaat.jp/d/kukunochi,今年のKAATキッズ・プログラムは「夏休み」をテーマに、振付家・北村明子演出による新作ダンス公演を届ける。コンテンポラリーダンスの新たな表現に挑戦し続ける北村明子と、現代美術家の大小島真木がタッグを組んだワクワクするダンス作品！ 見て、感じて、おとなもこどもも楽しめるKAATの夏休みの世界へ案内する。
5,音楽劇「LeRayonVert（緑閃光）」マグカルシアター参加作品,2021年7月21日(水)～23日(金),神奈川県立青少年センターStudioHIKARI,有料。一般3500円　※18歳以下無料（各回10名限定・当日要身分証）,2021-07-21,2021-07-23,https://danceteria-annex.jimdofree.com,「黎明の鳥」「水晶の虹」に続くIRISシリーズ第3話。Cote d&#39;Azurを南下してCosta del Solへ。第二次大戦後の復興期、混乱と喧騒のアンダルシア。光を取り戻したものの、創作意欲を失ったCelestinは彷徨う。歌うこと踊ること…それは魂を描くこと。憧れは全てを凌駕して煌く緑の閃光…。　主催：神奈川県・DANCETERIA-ANNEX(マグカルシアター参加作品)
6,第49回朔太郎忌「月に吠えらんねえ」in前橋　朔くん×朔太郎,2021年7月3日(土),前橋テルサ,"有料。1,000円",2021-07-03,2021-07-03,https://www.maebashibungakukan.jp/moyooshi/4361.html,詩人、萩原朔太郎が亡くなったのは1942年（昭和17年）5月11日。朔太郎の生誕地、前橋では命日に合わせて、近代詩史に大きな足跡を残した朔太郎を偲ぶ「朔太郎忌」を開催。今回は、朔太郎の作品をはじめ、日本近代文学の名作を大胆かつ繊細にキャラクター化して話題をよんだ漫画「月に吠えらんねえ」に焦点を当てる。チケットには6/6までの前橋文学館観覧券付（前橋文学館窓口で販売）。先着280名。
7,夏の紀伊國屋ホール公演『てぶくろを買いに』『くるみ割り人形』,2021年7月29日(木)～8月1日(日),紀伊國屋ホール,有料。全指定席　一般3190円（3歳以上均一）　※団体（15名以上）2090円,2021-07-29,2021-08-01,https://puk.jp/tebukuru/,人形劇団プーク夏休み公演は、『てぶくろを買いに』。お母さんに背中を押され、ひとりで人間の住む町にてぶくろを買いに行くこぎつね。そこでこぎつねを待ち受けているものとは…。今なお愛され続ける、新美南吉の作品。同時上演は『くるみ割り人形』。チャイコフスキーのバレエ音楽にのせて、人形たちが踊り出す！ 夏に届ける冬の物語り。改装し、きれいになった紀伊國屋ホールにて上演する。
8,ロシア･バレエ･ガラ2021（ウェスタ川越）,2021年8月26日(木),ウェスタ川越,"有料。6,500円（全席指定）",2021-08-26,2021-08-26,https://www.koransha.com/ballet/rossiangala/,バレエの名場面ばかりをハイライトで上演する人気公演！ バレエ大国ロシアを代表する5つのバレエ劇場、マリインスキー、ボリショイ、ミハイロフスキー、モスクワ音楽劇場、ペルミ・バレエより実力派ソリストが集結。ロシア・バレエの伝統美をカンパニーの枠を越えた競演で贈る贅沢な公演。4才以上入場可能なので、小さな子どもも一緒に、美しいバレエの世界を楽しむことができる。　※3歳以下入場不可
9,新国立劇場演劇「反応工程」,2021年7月12日(月)～25日(日),新国立劇場小劇場,"有料。A席：大人6,600円　B席：大人3,300円（税込）",2021-07-12,2021-07-25,https://www.nntt.jac.go.jp/play/reactionprocess/,劇作家・宮本研が自身の経験をもとに、終戦前夜の軍需工場で生きる人々を鮮やかに描いた『反応工程』。2020年4月の開幕直前の公演中止から1年、全キャスト、スタッフが再集結し、ついに上演！ 6週間に及ぶオーディションで決定した14人の出演者の舞台に乞うご期待。
0,新国立劇場ダンス　オバケッタ,2021年7月2日(金)～4日(日),新国立劇場小劇場,"有料。A席：こども(4歳～小学生) ：2,750円・おとな(中学生以上) ：5,500円／B席：こども(4歳～小学生) ：1,650円・おとな(中学生以上) ：3,300円（税込）",2021-07-02,2021-07-04,https://www.nntt.jac.go.jp/dance/obachetta/,「大人もこどもも楽しめるダンス作品」として発表する新作のテーマは、「死んだらみんなどこ行くの？」日本を代表するコンテンホ?ラリータ?ンスのカンパニーCo.山田うんの個性の際立つダンサーたちがあの世とこの世を行ったり来たり！ 妖怪や怪物になってどのように登場し、どんな踊りを見せてくれるのか。Co.山田うんならではのオリジナル作品『オバケッタ』に、乞うご期待。
